run_id,subject,reference,equivalent,fatal_divergences,non_fatal_divergences
equivalence-mongodb-northwind-file,port,resources,True,0,15
equivalence-mongodb-northwind-database,port,resources,True,0,12
oracle_chain-mongodb-up_a_small-23,port,seeded_oracle,True,0,7
oracle_chain-mongodb-up_a_medium-23,port,seeded_oracle,True,0,7
oracle_chain-mongodb-up_a_large-23,port,seeded_oracle,True,0,7
oracle_chain-mongodb-up_a_larger-23,port,seeded_oracle,True,0,7
oracle_chain-mongodb-up_b_small-23,port,seeded_oracle,True,0,5
oracle_chain-mongodb-up_b_medium-23,port,seeded_oracle,True,0,3
oracle_chain-mongodb-up_b_large-23,port,seeded_oracle,True,0,5
oracle_chain-mongodb-up_b_larger-23,port,seeded_oracle,True,0,5
oracle_chain-neo4j-movies_min-23,port,seeded_oracle,True,0,0
oracle_chain-neo4j-movies_min-23,port,resources,True,0,7
oracle_chain-neo4j-up_medium-23,port,seeded_oracle,True,0,0
oracle_chain-neo4j-up_medium-23,port,resources,True,0,7
oracle_chain-neo4j-up_large-23,port,seeded_oracle,True,0,0
oracle_chain-neo4j-up_large-23,port,resources,True,0,7
oracle_chain-neo4j-up_larger-23,port,seeded_oracle,True,0,0
oracle_chain-neo4j-up_larger-23,port,resources,True,0,7
size-neo4j-movies_min-23,port,resources,True,0,7
size-neo4j-up_medium-23,port,resources,True,0,7
size-neo4j-up_large-23,port,resources,True,0,7
size-neo4j-up_larger-23,port,resources,True,0,7
