run_id,experiment,size,paradigm,route,target,origin,total_time,extraction_time,inference_time,write_time,query_time,normalized
equivalence-mongodb-northwind-file,equivalence,,mongodb,,northwind,file,0.19,0.01,0.17,0.01,,
equivalence-mongodb-northwind-database,equivalence,,mongodb,,northwind,database,0.19,0.00,0.17,0.01,,
oracle_chain-mongodb-up_a_small-23,oracle_chain,small,mongodb,A,up_a_small,database,1.66,1.65,0.01,0.00,0.0561,29.590017825311943
oracle_chain-mongodb-up_a_medium-23,oracle_chain,medium,mongodb,A,up_a_medium,database,3.76,3.76,0.00,0.00,0.1030,36.50485436893204
oracle_chain-mongodb-up_a_large-23,oracle_chain,large,mongodb,A,up_a_large,database,10.26,10.25,0.01,0.00,0.2172,47.23756906077348
oracle_chain-mongodb-up_a_larger-23,oracle_chain,larger,mongodb,A,up_a_larger,database,31.40,31.36,0.04,0.00,0.5812,54.026152787336535
oracle_chain-mongodb-up_b_small-23,oracle_chain,small,mongodb,B,up_b_small,database,0.94,0.94,0.00,0.00,0.0598,15.719063545150501
oracle_chain-mongodb-up_b_medium-23,oracle_chain,medium,mongodb,B,up_b_medium,database,2.11,2.10,0.00,0.00,0.0902,23.392461197339244
oracle_chain-mongodb-up_b_large-23,oracle_chain,large,mongodb,B,up_b_large,database,6.12,6.11,0.01,0.00,0.2563,23.878267655091694
oracle_chain-mongodb-up_b_larger-23,oracle_chain,larger,mongodb,B,up_b_larger,database,16.88,16.85,0.03,0.00,0.5252,32.14013709063214
oracle_chain-neo4j-movies_min-23,oracle_chain,small,neo4j,,movies_min,database,13.14,13.14,0.00,0.00,0.1450,90.62068965517243
oracle_chain-neo4j-up_medium-23,oracle_chain,medium,neo4j,,up_medium,database,41.68,41.68,0.00,0.00,0.1116,373.47670250896056
oracle_chain-neo4j-up_large-23,oracle_chain,large,neo4j,,up_large,database,121.89,121.89,0.00,0.00,0.3066,397.55381604696674
oracle_chain-neo4j-up_larger-23,oracle_chain,larger,neo4j,,up_larger,database,472.29,472.29,0.00,0.00,0.9481,498.1436557325177
size-mongodb-up_a_small-23,size,small,mongodb,A,up_a_small,database,1.70,1.69,0.01,0.00,0.0421,40.38004750593824
size-mongodb-up_a_medium-23,size,medium,mongodb,A,up_a_medium,database,3.82,3.81,0.00,0.00,0.0948,40.29535864978903
size-mongodb-up_a_large-23,size,large,mongodb,A,up_a_large,database,10.49,10.48,0.01,0.00,0.2282,45.96844872918493
size-mongodb-up_a_larger-23,size,larger,mongodb,A,up_a_larger,database,31.62,31.57,0.04,0.00,0.5868,53.88548057259714
size-mongodb-up_b_small-23,size,small,mongodb,B,up_b_small,database,0.96,0.96,0.00,0.00,0.0411,23.357664233576642
size-mongodb-up_b_medium-23,size,medium,mongodb,B,up_b_medium,database,2.11,2.10,0.00,0.00,0.0810,26.04938271604938
size-mongodb-up_b_large-23,size,large,mongodb,B,up_b_large,database,5.26,5.25,0.01,0.00,0.2071,25.398358281023658
size-mongodb-up_b_larger-23,size,larger,mongodb,B,up_b_larger,database,14.70,14.67,0.03,0.00,0.5272,27.88315629742033
size-neo4j-movies_min-23,size,small,neo4j,,movies_min,database,13.07,13.06,0.00,0.00,0.0799,163.57947434292868
size-neo4j-up_medium-23,size,medium,neo4j,,up_medium,database,36.27,36.27,0.00,0.00,0.1171,309.73526900085403
size-neo4j-up_large-23,size,large,neo4j,,up_large,database,136.75,136.75,0.00,0.00,0.3028,451.61822985468956
size-neo4j-up_larger-23,size,larger,neo4j,,up_larger,database,1278.89,1278.88,0.00,0.00,0.9034,1415.6409121098075
